Optical constants n+ik of olivine (z-orientation, E||z) of natural single crystal olivine
from the University of Freiberg 

A(1/cm)	n.z	k.z
1196.286	1.29027	0.006443
1197.507	1.29172	0.006393
1198.727	1.293158	0.006344
1199.948	1.294586	0.006295
1201.169	1.296001	0.006247
1202.389	1.297406	0.006199
1203.61	1.2988	0.006152
1204.831	1.300183	0.006106
1206.052	1.301555	0.00606
1207.272	1.302916	0.006015
1208.493	1.304267	0.00597
1209.714	1.305608	0.005926
1210.934	1.306939	0.005882
1212.155	1.308259	0.005839
1213.376	1.309569	0.005797
1214.596	1.31087	0.005754
1215.817	1.312161	0.005713
1217.038	1.313442	0.005671
1218.259	1.314713	0.005631
1219.479	1.315976	0.00559
1220.7	1.317229	0.005551
1221.921	1.318473	0.005511
1223.141	1.319707	0.005472
1224.362	1.320933	0.005434
1225.583	1.32215	0.005396
1226.803	1.323358	0.005358
1228.024	1.324557	0.005321
1229.245	1.325748	0.005284
1230.466	1.32693	0.005247
1231.686	1.328104	0.005211
1232.907	1.32927	0.005176
1234.128	1.330427	0.005141
1235.348	1.331576	0.005106
1236.569	1.332717	0.005071
1237.79	1.33385	0.005037
1239.01	1.334976	0.005003
1240.231	1.336093	0.00497
1241.452	1.337203	0.004937
1242.673	1.338305	0.004904
1243.893	1.3394	0.004872
1245.114	1.340488	0.004839
1246.335	1.341567	0.004808
1247.555	1.34264	0.004776
1248.776	1.343705	0.004745
1249.997	1.344764	0.004715
1251.217	1.345815	0.004684
1252.438	1.346859	0.004654
1253.659	1.347896	0.004624
1254.88	1.348927	0.004595
1256.1	1.349951	0.004565
1257.321	1.350968	0.004536
1258.542	1.351978	0.004508
1259.762	1.352982	0.004479
1260.983	1.353979	0.004451
1262.204	1.35497	0.004423
1263.424	1.355954	0.004396
1264.645	1.356932	0.004369
1265.866	1.357904	0.004341
1267.087	1.358869	0.004315
1268.307	1.359829	0.004288
1269.528	1.360782	0.004262
1270.749	1.36173	0.004236
1271.969	1.362671	0.00421
1273.19	1.363607	0.004185
1274.411	1.364537	0.004159
1275.631	1.36546	0.004134
1276.852	1.366379	0.00411
1278.073	1.367291	0.004085
1279.294	1.368198	0.004061
1280.514	1.369099	0.004037
1281.735	1.369995	0.004013
1282.956	1.370886	0.003989
1284.176	1.371771	0.003966
1285.397	1.37265	0.003942
1286.618	1.373524	0.003919
1287.838	1.374393	0.003897
1289.059	1.375257	0.003874
1290.28	1.376116	0.003852
1291.501	1.376969	0.003829
1292.721	1.377818	0.003808
1293.942	1.378661	0.003786
1295.163	1.3795	0.003764
1296.383	1.380333	0.003743
1297.604	1.381162	0.003721
1298.825	1.381986	0.0037
1300.045	1.382805	0.003679
1301.266	1.383619	0.003659
1302.487	1.384429	0.003638
1303.708	1.385234	0.003618
1304.928	1.386034	0.003598
1306.149	1.386829	0.003578
1307.37	1.38762	0.003558
1308.59	1.388407	0.003539
1309.811	1.389189	0.003519
1311.032	1.389967	0.0035
1312.252	1.39074	0.003481
1313.473	1.391509	0.003462
1314.694	1.392274	0.003443
1315.915	1.393034	0.003424
1317.135	1.39379	0.003406
1318.356	1.394542	0.003387
1319.577	1.39529	0.003369
1320.797	1.396033	0.003351
1322.018	1.396773	0.003333
1323.239	1.397508	0.003315
1324.459	1.398239	0.003298
1325.68	1.398967	0.00328
1326.901	1.39969	0.003263
1328.122	1.40041	0.003246
1329.342	1.401125	0.003229
1330.563	1.401837	0.003212
1331.784	1.402545	0.003195
1333.004	1.403249	0.003179
1334.225	1.403949	0.003162
1335.446	1.404646	0.003146
1336.666	1.405339	0.00313
1337.887	1.406028	0.003114
1339.108	1.406713	0.003097
1340.329	1.407395	0.003082
1341.549	1.408074	0.003066
1342.77	1.408748	0.00305
1343.991	1.409419	0.003035
1345.211	1.410087	0.00302
1346.432	1.410751	0.003004
1347.653	1.411412	0.002989
1348.873	1.412069	0.002974
1350.094	1.412723	0.002959
1351.315	1.413374	0.002944
1352.536	1.414021	0.00293
1353.756	1.414665	0.002915
1354.977	1.415306	0.002901
1356.198	1.415943	0.002886
1357.418	1.416577	0.002872
1358.639	1.417208	0.002858
1359.86	1.417836	0.002844
1361.08	1.41846	0.00283
1362.301	1.419081	0.002816
1363.522	1.4197	0.002803
1364.743	1.420315	0.002789
1365.963	1.420927	0.002776
1367.184	1.421536	0.002762
1368.405	1.422142	0.002749
1369.625	1.422745	0.002736
1370.846	1.423345	0.002723
1372.067	1.423942	0.00271
1373.287	1.424536	0.002697
1374.508	1.425128	0.002684
1375.729	1.425716	0.002671
1376.95	1.426301	0.002659
1378.17	1.426884	0.002646
1379.391	1.427464	0.002634
1380.612	1.428041	0.002621
1381.832	1.428615	0.002609
1383.053	1.429186	0.002597
1384.274	1.429755	0.002585
1385.494	1.430321	0.002573
1386.715	1.430884	0.002561
1387.936	1.431445	0.002549
1389.157	1.432002	0.002537
1390.377	1.432558	0.002526
1391.598	1.43311	0.002514
1392.819	1.43366	0.002502
1394.039	1.434208	0.002491
1395.26	1.434752	0.00248
1396.481	1.435295	0.002468
1397.701	1.435835	0.002457
1398.922	1.436372	0.002446
1400.143	1.436906	0.002435
1401.364	1.437439	0.002424
1402.584	1.437968	0.002413
1403.805	1.438496	0.002402
1405.026	1.439021	0.002391
1406.246	1.439543	0.002381
1407.467	1.440063	0.00237
1408.688	1.440581	0.00236
1409.908	1.441096	0.002349
1411.129	1.441609	0.002339
1412.35	1.44212	0.002328
1413.571	1.442628	0.002318
1414.791	1.443134	0.002308
1416.012	1.443638	0.002298
1417.233	1.444139	0.002288
1418.453	1.444638	0.002278
1419.674	1.445135	0.002268
1420.895	1.44563	0.002258
1422.115	1.446123	0.002248
1423.336	1.446613	0.002239
1424.557	1.447101	0.002229
1425.778	1.447587	0.002219
1426.998	1.448071	0.00221
1428.219	1.448552	0.0022
1429.44	1.449032	0.002191
1430.66	1.449509	0.002182
1431.881	1.449985	0.002172
1433.102	1.450458	0.002163
1434.322	1.450929	0.002154
1435.543	1.451398	0.002145
1436.764	1.451865	0.002136
1437.985	1.452331	0.002127
1439.205	1.452794	0.002118
1440.426	1.453255	0.002109
1441.647	1.453714	0.0021
1442.867	1.454171	0.002091
1444.088	1.454626	0.002083
1445.309	1.455079	0.002074
1446.529	1.45553	0.002065
1447.75	1.45598	0.002057
1448.971	1.456427	0.002048
1450.192	1.456873	0.00204
1451.412	1.457316	0.002031
1452.633	1.457758	0.002023
1453.854	1.458198	0.002015
1455.074	1.458636	0.002007
1456.295	1.459072	0.001998
1457.516	1.459506	0.00199
1458.736	1.459939	0.001982
1459.957	1.46037	0.001974
1461.178	1.460799	0.001966
1462.399	1.461226	0.001958
1463.619	1.461651	0.00195
1464.84	1.462075	0.001942
1466.061	1.462497	0.001935
1467.281	1.462917	0.001927
1468.502	1.463335	0.001919
1469.723	1.463752	0.001912
1470.943	1.464167	0.001904
1472.164	1.46458	0.001896
1473.385	1.464992	0.001889
1474.606	1.465402	0.001881
1475.826	1.46581	0.001874
1477.047	1.466216	0.001866
1478.268	1.466621	0.001859
1479.488	1.467024	0.001852
1480.709	1.467426	0.001844
1481.93	1.467826	0.001837
1483.15	1.468225	0.00183
1484.371	1.468621	0.001823
1485.592	1.469017	0.001816
1486.813	1.46941	0.001809
1488.033	1.469802	0.001802
1489.254	1.470193	0.001795
1490.475	1.470582	0.001788
1491.695	1.470969	0.001781
1492.916	1.471355	0.001774
1494.137	1.47174	0.001767
1495.357	1.472122	0.001761
1496.578	1.472504	0.001754
1497.799	1.472883	0.001747
1499.02	1.473262	0.00174
1500.24	1.473639	0.001734
1501.461	1.474014	0.001727
1502.682	1.474388	0.001721
1503.902	1.474761	0.001714
1505.123	1.475132	0.001708
1506.344	1.475501	0.001701
1507.564	1.475869	0.001695
1508.785	1.476236	0.001689
1510.006	1.476601	0.001682
1511.227	1.476965	0.001676
1512.447	1.477328	0.00167
1513.668	1.477689	0.001663
1514.889	1.478049	0.001657
1516.109	1.478407	0.001651
1517.33	1.478764	0.001645
1518.551	1.47912	0.001639
1519.771	1.479474	0.001633
1520.992	1.479827	0.001627
1522.213	1.480179	0.001621
1523.434	1.480529	0.001615
1524.654	1.480878	0.001609
1525.875	1.481226	0.001603
1527.096	1.481572	0.001597
1528.316	1.481917	0.001591
1529.537	1.482261	0.001585
1530.758	1.482603	0.00158
1531.978	1.482945	0.001574
1533.199	1.483284	0.001568
1534.42	1.483623	0.001563
1535.641	1.483961	0.001557
1536.861	1.484297	0.001551
1538.082	1.484632	0.001546
1539.303	1.484965	0.00154
1540.523	1.485298	0.001535
1541.744	1.485629	0.001529
1542.965	1.485959	0.001524
1544.185	1.486288	0.001518
1545.406	1.486616	0.001513
1546.627	1.486942	0.001507
1547.848	1.487267	0.001502
1549.068	1.487591	0.001497
1550.289	1.487914	0.001491
1551.51	1.488236	0.001486
1552.73	1.488556	0.001481
1553.951	1.488876	0.001476
1555.172	1.489194	0.001471
1556.392	1.489511	0.001465
1557.613	1.489827	0.00146
1558.834	1.490142	0.001455
1560.055	1.490455	0.00145
1561.275	1.490768	0.001445
1562.496	1.491079	0.00144
1563.717	1.491389	0.001435
1564.937	1.491699	0.00143
1566.158	1.492007	0.001425
1567.379	1.492314	0.00142
1568.599	1.49262	0.001415
1569.82	1.492924	0.00141
1571.041	1.493228	0.001406
1572.262	1.493531	0.001401
1573.482	1.493833	0.001396
1574.703	1.494133	0.001391
1575.924	1.494433	0.001386
1577.144	1.494731	0.001382
1578.365	1.495028	0.001377
1579.586	1.495325	0.001372
1580.806	1.49562	0.001368
1582.027	1.495915	0.001363
1583.248	1.496208	0.001358
1584.469	1.4965	0.001354
1585.689	1.496791	0.001349
1586.91	1.497082	0.001345
1588.131	1.497371	0.00134
1589.351	1.497659	0.001336
1590.572	1.497947	0.001331
1591.793	1.498233	0.001327
1593.013	1.498518	0.001322
1594.234	1.498802	0.001318
1595.455	1.499086	0.001313
1596.676	1.499368	0.001309
1597.896	1.49965	0.001305
1599.117	1.49993	0.0013
1600.338	1.50021	0.001296
1601.558	1.500488	0.001292
1602.779	1.500766	0.001288
1604	1.501042	0.001283
1605.22	1.501318	0.001279
1606.441	1.501593	0.001275
1607.662	1.501867	0.001271
1608.883	1.50214	0.001266
1610.103	1.502412	0.001262
1611.324	1.502683	0.001258
1612.545	1.502953	0.001254
1613.765	1.503223	0.00125
1614.986	1.503491	0.001246
1616.207	1.503759	0.001242
1617.427	1.504025	0.001238
1618.648	1.504291	0.001234
1619.869	1.504556	0.00123
1621.09	1.50482	0.001226
1622.31	1.505083	0.001222
1623.531	1.505345	0.001218
1624.752	1.505607	0.001214
1625.972	1.505867	0.00121
1627.193	1.506127	0.001206
1628.414	1.506386	0.001203
1629.634	1.506644	0.001199
1630.855	1.506901	0.001195
1632.076	1.507157	0.001191
1633.297	1.507413	0.001187
1634.517	1.507668	0.001184
1635.738	1.507921	0.00118
1636.959	1.508174	0.001176
1638.179	1.508427	0.001172
1639.4	1.508678	0.001169
1640.621	1.508929	0.001165
1641.841	1.509178	0.001161
1643.062	1.509427	0.001158
1644.283	1.509675	0.001154
1645.504	1.509923	0.00115
1646.724	1.510169	0.001147
1647.945	1.510415	0.001143
1649.166	1.51066	0.00114
1650.386	1.510904	0.001136
1651.607	1.511147	0.001133
1652.828	1.51139	0.001129
1654.048	1.511632	0.001125
1655.269	1.511873	0.001122
1656.49	1.512114	0.001119
1657.711	1.512353	0.001115
1658.931	1.512592	0.001112
1660.152	1.51283	0.001108
1661.373	1.513067	0.001105
1662.593	1.513304	0.001101
1663.814	1.51354	0.001098
1665.035	1.513775	0.001095
1666.255	1.514009	0.001091
1667.476	1.514243	0.001088
1668.697	1.514476	0.001085
1669.918	1.514708	0.001081
1671.138	1.514939	0.001078
1672.359	1.51517	0.001075
1673.58	1.5154	0.001072
1674.8	1.515629	0.001068
1676.021	1.515858	0.001065
1677.242	1.516086	0.001062
1678.462	1.516313	0.001059
1679.683	1.516539	0.001055
1680.904	1.516765	0.001052
1682.125	1.51699	0.001049
1683.345	1.517215	0.001046
1684.566	1.517438	0.001043
1685.787	1.517661	0.00104
1687.007	1.517884	0.001037
1688.228	1.518105	0.001033
1689.449	1.518326	0.00103
1690.669	1.518546	0.001027
1691.89	1.518766	0.001024
1693.111	1.518985	0.001021
1694.332	1.519203	0.001018
1695.552	1.519421	0.001015
1696.773	1.519638	0.001012
1697.994	1.519854	0.001009
1699.214	1.52007	0.001006
1700.435	1.520285	0.001003
1701.656	1.520499	0.001
1702.876	1.520713	0.000997
1704.097	1.520926	0.000994
1705.318	1.521139	0.000991
1706.539	1.52135	0.000989
1707.759	1.521562	0.000986
1708.98	1.521772	0.000983
1710.201	1.521982	0.00098
1711.421	1.522191	0.000977
1712.642	1.5224	0.000974
1713.863	1.522608	0.000972
1715.083	1.522815	0.000969
1716.304	1.523022	0.000966
1717.525	1.523228	0.000963
1718.746	1.523434	0.00096
1719.966	1.523639	0.000958
1721.187	1.523843	0.000955
1722.408	1.524047	0.000952
1723.628	1.52425	0.000949
1724.849	1.524453	0.000946
1726.07	1.524655	0.000944
1727.29	1.524856	0.000941
1728.511	1.525057	0.000938
1729.732	1.525257	0.000936
1730.953	1.525457	0.000933
1732.173	1.525656	0.00093
1733.394	1.525854	0.000928
1734.615	1.526052	0.000925
1735.835	1.52625	0.000922
1737.056	1.526446	0.00092
1738.277	1.526643	0.000917
1739.497	1.526838	0.000915
1740.718	1.527033	0.000912
1741.939	1.527228	0.000909
1743.16	1.527422	0.000907
1744.38	1.527615	0.000904
1745.601	1.527808	0.000902
1746.822	1.528	0.000899
1748.042	1.528192	0.000897
1749.263	1.528383	0.000894
1750.484	1.528574	0.000892
1751.704	1.528764	0.000889
1752.925	1.528953	0.000887
1754.146	1.529142	0.000884
1755.367	1.529331	0.000882
1756.587	1.529519	0.000879
1757.808	1.529706	0.000877
1759.029	1.529893	0.000875
1760.249	1.530079	0.000872
1761.47	1.530265	0.00087
1762.691	1.53045	0.000867
1763.911	1.530635	0.000865
1765.132	1.530819	0.000862
1766.353	1.531003	0.00086
1767.574	1.531186	0.000858
1768.794	1.531369	0.000855
1770.015	1.531551	0.000853
1771.236	1.531733	0.000851
1772.456	1.531914	0.000848
1773.677	1.532095	0.000846
1774.898	1.532275	0.000844
1776.118	1.532454	0.000842
1777.339	1.532634	0.000839
1778.56	1.532812	0.000837
1779.781	1.53299	0.000835
1781.001	1.533168	0.000832
1782.222	1.533345	0.00083
1783.443	1.533522	0.000828
1784.663	1.533698	0.000826
1785.884	1.533874	0.000823
1787.105	1.534049	0.000821
1788.325	1.534224	0.000819
1789.546	1.534398	0.000817
1790.767	1.534572	0.000815
1791.988	1.534745	0.000812
1793.208	1.534918	0.00081
1794.429	1.53509	0.000808
1795.65	1.535262	0.000806
1796.87	1.535434	0.000804
1798.091	1.535604	0.000802
1799.312	1.535775	0.000799
1800.532	1.535945	0.000797
1801.753	1.536115	0.000795
1802.974	1.536284	0.000793
1804.195	1.536452	0.000791
1805.415	1.53662	0.000789
1806.636	1.536788	0.000787
1807.857	1.536955	0.000785
1809.077	1.537122	0.000783
1810.298	1.537289	0.000781
1811.519	1.537455	0.000778
1812.739	1.53762	0.000776
1813.96	1.537785	0.000774
1815.181	1.53795	0.000772
1816.402	1.538114	0.00077
1817.622	1.538278	0.000768
1818.843	1.538441	0.000766
1820.064	1.538604	0.000764
1821.284	1.538766	0.000762
1822.505	1.538928	0.00076
1823.726	1.53909	0.000758
1824.946	1.539251	0.000756
1826.167	1.539411	0.000754
1827.388	1.539572	0.000752
1828.609	1.539732	0.000751
1829.829	1.539891	0.000748
1831.05	1.54005	0.000747
1832.271	1.540209	0.000745
1833.491	1.540367	0.000743
1834.712	1.540524	0.000741
1835.933	1.540682	0.000739
1837.153	1.540839	0.000737
1838.374	1.540995	0.000735
1839.595	1.541151	0.000733
1840.816	1.541307	0.000731
1842.036	1.541462	0.00073
1843.257	1.541617	0.000728
1844.478	1.541772	0.000726
1845.698	1.541926	0.000724
1846.919	1.542079	0.000722
1848.14	1.542233	0.00072
1849.36	1.542385	0.000718
1850.581	1.542538	0.000716
1851.802	1.54269	0.000715
1853.023	1.542842	0.000713
1854.243	1.542993	0.000711
1855.464	1.543144	0.000709
1856.685	1.543294	0.000707
1857.905	1.543444	0.000706
1859.126	1.543594	0.000704
1860.347	1.543743	0.000702
1861.567	1.543892	0.0007
1862.788	1.544041	0.000699
1864.009	1.544189	0.000697
1865.23	1.544337	0.000695
1866.45	1.544484	0.000693
1867.671	1.544631	0.000692
1868.892	1.544778	0.00069
1870.112	1.544924	0.000688
1871.333	1.545071	0.000686
1872.554	1.545216	0.000685
1873.774	1.545361	0.000683
1874.995	1.545506	0.000681
1876.216	1.54565	0.00068
1877.437	1.545795	0.000678
1878.657	1.545938	0.000676
1879.878	1.546082	0.000675
1881.099	1.546225	0.000673
1882.319	1.546367	0.000671
1883.54	1.54651	0.00067
1884.761	1.546652	0.000668
1885.981	1.546793	0.000666
1887.202	1.546934	0.000665
1888.423	1.547075	0.000663
1889.644	1.547216	0.000661
1890.864	1.547356	0.00066
1892.085	1.547496	0.000658
1893.306	1.547635	0.000656
1894.526	1.547774	0.000655
1895.747	1.547913	0.000653
1896.968	1.548051	0.000652
1898.188	1.54819	0.00065
1899.409	1.548327	0.000648
1900.63	1.548465	0.000647
1901.851	1.548602	0.000645
1903.071	1.548738	0.000644
1904.292	1.548875	0.000642
1905.513	1.549011	0.000641
1906.733	1.549147	0.000639
1907.954	1.549282	0.000638
1909.175	1.549417	0.000636
1910.395	1.549552	0.000635
1911.616	1.549686	0.000633
1912.837	1.54982	0.000631
1914.058	1.549954	0.00063
1915.278	1.550087	0.000628
1916.499	1.55022	0.000627
1917.72	1.550353	0.000625
1918.94	1.550485	0.000624
1920.161	1.550617	0.000622
1921.382	1.550749	0.000621
1922.602	1.55088	0.000619
1923.823	1.551012	0.000618
1925.044	1.551142	0.000616
1926.265	1.551273	0.000615
1927.485	1.551403	0.000614
1928.706	1.551533	0.000612
1929.927	1.551662	0.000611
1931.147	1.551792	0.000609
1932.368	1.551921	0.000608
1933.589	1.552049	0.000606
1934.809	1.552177	0.000605
1936.03	1.552305	0.000603
1937.251	1.552433	0.000602
1938.472	1.55256	0.0006
1939.692	1.552687	0.000599
1940.913	1.552814	0.000598
1942.134	1.552941	0.000596
1943.354	1.553067	0.000595
1944.575	1.553192	0.000593
1945.796	1.553318	0.000592
1947.016	1.553443	0.000591
1948.237	1.553568	0.000589
1949.458	1.553693	0.000588
1950.679	1.553817	0.000586
1951.899	1.553941	0.000585
1953.12	1.554065	0.000584
1954.341	1.554188	0.000582
1955.561	1.554312	0.000581
1956.782	1.554435	0.00058
1958.003	1.554557	0.000578
1959.223	1.554679	0.000577
1960.444	1.554801	0.000576
1961.665	1.554923	0.000574
1962.886	1.555045	0.000573
1964.106	1.555166	0.000572
1965.327	1.555287	0.00057
1966.548	1.555407	0.000569
1967.768	1.555527	0.000568
1968.989	1.555647	0.000566
1970.21	1.555767	0.000565
1971.43	1.555887	0.000564
1972.651	1.556006	0.000562
1973.872	1.556125	0.000561
1975.093	1.556243	0.00056
1976.313	1.556362	0.000559
1977.534	1.55648	0.000557
1978.755	1.556597	0.000556
1979.975	1.556715	0.000555
1981.196	1.556832	0.000554
1982.417	1.556949	0.000552
1983.637	1.557066	0.000551
1984.858	1.557182	0.00055
1986.079	1.557298	0.000548
1987.3	1.557414	0.000547
1988.52	1.55753	0.000546
1989.741	1.557645	0.000545
1990.962	1.55776	0.000544
1992.182	1.557875	0.000542
1993.403	1.55799	0.000541
1994.624	1.558104	0.00054
1995.844	1.558218	0.000539
1997.065	1.558332	0.000537
1998.286	1.558445	0.000536
1999.507	1.558558	0.000535
2000.727	1.558671	0.000534
2001.948	1.558784	0.000533
2003.169	1.558897	0.000531
2004.389	1.559009	0.00053
2005.61	1.559121	0.000529
2006.831	1.559232	0.000528
2008.051	1.559344	0.000527
2009.272	1.559455	0.000525
2010.493	1.559566	0.000524
2011.714	1.559677	0.000523
2012.934	1.559787	0.000522
2014.155	1.559897	0.000521
2015.376	1.560007	0.00052
2016.596	1.560117	0.000518
2017.817	1.560226	0.000517
2019.038	1.560336	0.000516
2020.258	1.560445	0.000515
2021.479	1.560553	0.000514
2022.7	1.560662	0.000513
2023.921	1.56077	0.000512
2025.141	1.560878	0.00051
2026.362	1.560986	0.000509
2027.583	1.561093	0.000508
2028.803	1.5612	0.000507
2030.024	1.561307	0.000506
2031.245	1.561414	0.000505
2032.465	1.561521	0.000504
2033.686	1.561627	0.000503
2034.907	1.561733	0.000502
2036.128	1.561839	0.000501
2037.348	1.561944	0.000499
2038.569	1.56205	0.000498
2039.79	1.562155	0.000497
2041.01	1.56226	0.000496
2042.231	1.562364	0.000495
2043.452	1.562469	0.000494
2044.672	1.562573	0.000493
2045.893	1.562677	0.000492
2047.114	1.562781	0.000491
2048.335	1.562884	0.00049
2049.555	1.562987	0.000489
2050.776	1.56309	0.000487
2051.997	1.563193	0.000487
2053.217	1.563296	0.000485
2054.438	1.563398	0.000484
2055.659	1.5635	0.000483
2056.879	1.563602	0.000482
2058.1	1.563704	0.000481
2059.321	1.563805	0.00048
2060.542	1.563907	0.000479
2061.762	1.564008	0.000478
2062.983	1.564108	0.000477
2064.204	1.564209	0.000476
2065.424	1.564309	0.000475
2066.645	1.564409	0.000474
2067.866	1.564509	0.000473
2069.086	1.564609	0.000472
2070.307	1.564708	0.000471
2071.528	1.564808	0.00047
2072.749	1.564907	0.000469
2073.969	1.565006	0.000468
2075.19	1.565104	0.000467
2076.411	1.565203	0.000466
2077.631	1.565301	0.000465
2078.852	1.565399	0.000464
2080.073	1.565497	0.000463
2081.293	1.565594	0.000462
2082.514	1.565692	0.000461
2083.735	1.565789	0.00046
2084.956	1.565886	0.000459
2086.176	1.565982	0.000458
2087.397	1.566079	0.000457
2088.618	1.566175	0.000456
2089.838	1.566271	0.000455
2091.059	1.566367	0.000454
2092.28	1.566463	0.000453
2093.5	1.566558	0.000452
2094.721	1.566654	0.000451
2095.942	1.566749	0.00045
2097.163	1.566844	0.000449
2098.383	1.566938	0.000449
2099.604	1.567033	0.000448
2100.825	1.567127	0.000447
2102.045	1.567221	0.000446
2103.266	1.567315	0.000445
2104.487	1.567409	0.000444
2105.707	1.567502	0.000443
2106.928	1.567595	0.000442
2108.149	1.567688	0.000441
2109.37	1.567781	0.00044
2110.59	1.567874	0.000439
2111.811	1.567966	0.000438
2113.032	1.568059	0.000438
2114.252	1.568151	0.000437
2115.473	1.568243	0.000436
2116.694	1.568335	0.000435
2117.914	1.568426	0.000434
2119.135	1.568517	0.000433
2120.356	1.568609	0.000432
2121.577	1.568699	0.000431
2122.797	1.56879	0.00043
2124.018	1.568881	0.000429
2125.239	1.568971	0.000429
2126.459	1.569061	0.000428
2127.68	1.569151	0.000427
2128.901	1.569241	0.000426
2130.121	1.569331	0.000425
2131.342	1.56942	0.000424
2132.563	1.56951	0.000423
2133.784	1.569599	0.000422
2135.004	1.569687	0.000422
2136.225	1.569776	0.000421
2137.446	1.569865	0.00042
2138.666	1.569953	0.000419
2139.887	1.570041	0.000418
2141.108	1.570129	0.000417
2142.328	1.570217	0.000416
2143.549	1.570305	0.000415
2144.77	1.570392	0.000415
2145.991	1.570479	0.000414
2147.211	1.570566	0.000413
2148.432	1.570653	0.000412
2149.653	1.57074	0.000411
2150.873	1.570826	0.000411
2152.094	1.570913	0.00041
2153.315	1.570999	0.000409
2154.535	1.571085	0.000408
2155.756	1.571171	0.000407
2156.977	1.571256	0.000406
2158.198	1.571342	0.000406
2159.418	1.571427	0.000405
2160.639	1.571512	0.000404
2161.86	1.571597	0.000403
2163.08	1.571682	0.000402
2164.301	1.571766	0.000402
2165.522	1.571851	0.000401
2166.742	1.571935	0.0004
2167.963	1.572019	0.000399
2169.184	1.572103	0.000398
2170.405	1.572187	0.000397
2171.625	1.57227	0.000397
2172.846	1.572354	0.000396
2174.067	1.572437	0.000395
2175.287	1.57252	0.000394
2176.508	1.572603	0.000393
2177.729	1.572686	0.000393
2178.949	1.572768	0.000392
2180.17	1.572851	0.000391
2181.391	1.572933	0.00039
2182.612	1.573015	0.00039
2183.832	1.573097	0.000389
2185.053	1.573179	0.000388
2186.274	1.57326	0.000387
2187.494	1.573342	0.000387
2188.715	1.573423	0.000386
2189.936	1.573504	0.000385
2191.156	1.573585	0.000384
2192.377	1.573666	0.000384
2193.598	1.573746	0.000383
2194.819	1.573827	0.000382
2196.039	1.573907	0.000381
2197.26	1.573987	0.00038
2198.481	1.574067	0.00038
2199.701	1.574147	0.000379
2200.922	1.574226	0.000378
2202.143	1.574306	0.000377
2203.363	1.574385	0.000377
2204.584	1.574464	0.000376
2205.805	1.574543	0.000375
2207.026	1.574622	0.000375
2208.246	1.574701	0.000374
2209.467	1.574779	0.000373
2210.688	1.574858	0.000372
2211.908	1.574936	0.000372
2213.129	1.575014	0.000371
2214.35	1.575092	0.00037
2215.57	1.57517	0.000369
2216.791	1.575247	0.000369
2218.012	1.575325	0.000368
2219.233	1.575402	0.000367
2220.453	1.575479	0.000367
2221.674	1.575556	0.000366
2222.895	1.575633	0.000365
2224.115	1.57571	0.000365
2225.336	1.575786	0.000364
2226.557	1.575863	0.000363
2227.777	1.575939	0.000362
2228.998	1.576015	0.000362
2230.219	1.576091	0.000361
2231.44	1.576167	0.00036
2232.66	1.576243	0.00036
2233.881	1.576318	0.000359
2235.102	1.576393	0.000358
2236.322	1.576469	0.000357
2237.543	1.576544	0.000357
2238.764	1.576619	0.000356
2239.984	1.576693	0.000356
2241.205	1.576768	0.000355
2242.426	1.576843	0.000354
2243.647	1.576917	0.000354
2244.867	1.576991	0.000353
2246.088	1.577065	0.000352
2247.309	1.577139	0.000351
2248.529	1.577213	0.000351
2249.75	1.577286	0.00035
2250.971	1.57736	0.000349
2252.191	1.577433	0.000349
2253.412	1.577507	0.000348
2254.633	1.57758	0.000347
2255.854	1.577653	0.000347
2257.074	1.577725	0.000346
2258.295	1.577798	0.000346
2259.516	1.57787	0.000345
2260.736	1.577943	0.000344
2261.957	1.578015	0.000343
2263.178	1.578087	0.000343
2264.398	1.578159	0.000342
2265.619	1.578231	0.000342
2266.84	1.578303	0.000341
2268.061	1.578374	0.00034
2269.281	1.578446	0.00034
2270.502	1.578517	0.000339
2271.723	1.578588	0.000338
2272.943	1.578659	0.000338
2274.164	1.57873	0.000337
2275.385	1.578801	0.000337
2276.605	1.578871	0.000336
2277.826	1.578942	0.000335
2279.047	1.579012	0.000335
2280.268	1.579082	0.000334
2281.488	1.579152	0.000333
2282.709	1.579222	0.000333
2283.93	1.579292	0.000332
2285.15	1.579362	0.000331
2286.371	1.579431	0.000331
2287.592	1.579501	0.00033
2288.812	1.57957	0.00033
2290.033	1.579639	0.000329
2291.254	1.579708	0.000328
2292.475	1.579777	0.000328
2293.695	1.579846	0.000327
2294.916	1.579914	0.000327
2296.137	1.579983	0.000326
2297.357	1.580051	0.000325
2298.578	1.580119	0.000325
2299.799	1.580187	0.000324
2301.019	1.580255	0.000324
2302.24	1.580323	0.000323
2303.461	1.580391	0.000322
2304.682	1.580459	0.000322
2305.902	1.580526	0.000321
2307.123	1.580593	0.000321
2308.344	1.580661	0.00032
2309.564	1.580728	0.000319
2310.785	1.580795	0.000319
2312.006	1.580862	0.000318
2313.226	1.580928	0.000318
2314.447	1.580995	0.000317
2315.668	1.581061	0.000316
2316.889	1.581128	0.000316
2318.109	1.581194	0.000315
2319.33	1.58126	0.000315
2320.551	1.581326	0.000314
2321.771	1.581392	0.000314
2322.992	1.581458	0.000313
2324.213	1.581523	0.000312
2325.433	1.581589	0.000312
2326.654	1.581654	0.000311
2327.875	1.58172	0.000311
2329.096	1.581785	0.00031
